galaxy,n_points,RMS_5G_M_km_s,RMS_Newtonian_km_s,mean_chi_obs,mean_chi_pred,negative_g_rel_points,Mtotal_proxy_Msun
UGC06983,17,11.470640017666378,54.54130717033093,1.4909350602909814,1.2978569854805941,0,8774596955.528017
NGC0055,21,11.628980009716834,30.10483924708385,0.9306208240462243,1.2549102780640558,0,7161747944.03975
NGC3109,25,11.673064072291787,32.07944925871144,1.9827495759280294,1.5620767904188302,0,684425606.4414277
NGC0300,25,11.713174196797254,46.47895971603302,1.5734268622090288,1.3265039062259079,0,3248735854.6214643
NGC2683,11,12.078770131338533,63.994598885048255,0.922674370569175,1.022480119419009,0,51293950025.18072
UGC09992,5,12.449110127540123,11.212288562531272,0.8757716178424,1.4219307383084037,0,498451162.0796529
ESO116-G012,15,12.452261400512489,46.78208640396458,1.3001298554157439,1.0880846653356038,0,5207601739.399338
UGC06446,17,12.46869802171988,43.361690679924365,1.7664842810806591,1.412716165925479,0,3155645129.0540843
NGC3769,12,12.526576063551074,50.35656246265608,1.0322808452569634,1.1938776313627026,1,18052881584.129868
NGC3521,41,12.645039961410209,35.10281543370746,0.31337793026414723,0.28487252463808876,0,53123384684.520256
UGC05764,10,12.667304157670003,29.626853146959423,2.131622185648159,1.4266195669303396,0,376839154.27200294
DDO161,31,13.294028418395992,23.323029110647877,0.9710308065638525,1.4838415631675452,0,2926378767.7491508
CamB,9,13.43015539109817,3.3556068721726025,-0.25980998264326394,1.528469911123135,6,66133643.46150003
UGC07608,8,13.435924202853451,33.45240342275178,1.9693401947865574,1.4464294697449136,0,793499049.2709684
NGC3992,9,13.621089447287495,105.26043069104036,1.0833172476176225,1.0213187866419802,0,154839901196.95602
F574-1,14,13.79630278236451,48.52533758837649,1.6336629908634965,1.345246061545654,0,6330067932.135293
UGC00128,22,13.864402543079493,74.49268163919993,1.8810268621125177,1.6743420124743096,0,23430228046.971462
F565-V2,7,14.070483783296599,41.087913426981345,1.9823963998402365,1.5553920973836575,0,1860751571.1791227
F567-2,5,14.106251879612723,18.93445645439774,1.0342840641382225,1.519439628926854,0,2525782925.8226748
UGC08699,41,14.131576479288023,57.25812439420853,0.6509610351164016,0.5348763891060664,4,37163017425.24258
UGC00731,12,14.170382593719491,38.17360738121145,2.1249251420021626,1.639742349925056,0,3450805393.3934917
F583-1,25,14.35705953209797,37.59737362189561,1.952068101860117,1.5755660788285024,0,6465712210.439187
NGC5005,18,14.86326335561544,32.137765803626486,0.16566674613438595,0.15369226222914423,5,108436210714.01172
UGC08490,30,15.161639639929536,44.87123580471808,1.7600334403535887,1.3107303291049386,0,1715105059.1618984
PGC51017,6,15.474840953406995,4.749998947161798,0.35551555372906485,1.3089175059476255,0,258911939.56627783
NGC3949,7,16.057198149896756,28.517276444165443,0.3430932631461373,0.526293722729602,0,23369841101.301823
UGC03205,48,16.305615128847716,71.86627541704375,0.7542634026332949,0.6676225588473231,2,84411715608.51074
UGC03546,30,16.603432657113633,51.94601047736443,0.25957627592479654,0.3675482040152873,15,68176823712.19115
UGC01230,11,16.713441333678777,53.52025702299252,1.518375184936223,1.4138506910349968,0,18460897142.4652
ESO444-G084,7,16.986851001168336,33.349804034715035,2.028014816721726,1.282898705082228,0,277536973.454455
UGC08286,17,17.132205403045095,44.65400461674634,1.8015659883511501,1.2785839837413395,0,1996800926.3155935
UGC05986,15,17.493320144110694,53.971504234343115,1.4182077783288918,1.12628445781349,0,4268250357.1337233
UGC02259,8,17.72880104836248,48.104127634342866,1.8590606556918232,1.3270912103102328,0,2315905619.740939
NGC7814,18,17.94541627597862,73.6207273640208,0.7396429765314474,0.6157601423188558,2,51313790336.64968
NGC6789,4,18.008683058037168,26.49840257662861,1.821761124402106,0.898573491473933,0,60953867.55361076
NGC2903,34,18.172007728801333,60.520087188359796,0.48004318838301735,0.6291496704126135,5,48135867016.050095
NGC5907,19,18.738904796502716,86.48374825501512,0.9941406306359264,1.0544268752682082,0,139123457768.93726
NGC3953,8,18.865982713521458,49.90378454420272,0.5275532017210129,0.645584211659165,0,92517129140.57726
NGC4559,32,19.051138948106384,39.97820918135414,0.7892599790535262,1.104165458015625,0,23395922624.863113
UGC04325,8,19.26675886489307,46.16285880622443,1.705019584557137,1.1355864322992577,0,2455600161.4774547
NGC1090,24,19.449217814082317,53.859321266262924,0.6921956295409952,0.9703900818951802,2,58684115113.08073
F579-V1,14,19.76425688442627,55.59624575573928,1.6527015884448695,1.2234130657541618,0,10970042385.91368
NGC4013,36,20.147916795842633,65.69129911121439,0.9059462416872225,1.072205814742003,0,56690451795.550255
NGC0289,28,20.184235330364775,72.05791283517864,1.048425076205661,1.221896600433747,0,90430518695.81091
NGC4214,14,20.41450069993789,43.616236802795356,1.6706077240095252,1.0659932933987584,0,851773402.7217497
UGC05721,23,20.480260696135325,43.42112660188199,1.6919960185221488,1.0923462362775935,0,1217204828.5130355
NGC6946,58,22.25555810533535,42.149896326484296,0.5117889394124302,0.7415195019649898,3,46060866670.588326
F563-V1,6,22.342315966617722,4.948718563402544,0.43602988023253214,1.6282143458333664,0,1242416201.3387866
UGC11455,36,22.501780935072457,60.052146253715186,0.4199954459072877,0.6130050088406909,3,253876175891.14862
UGC04305,22,22.874745935992955,6.3534996230072105,0.2625145096084238,1.3000516685873833,5,1417454259.6799283
UGC02885,19,22.98262678098202,114.82690801221729,0.9819580547624582,1.002886461393281,0,363797932762.0434
