galaxy,n_points,RMS_frozen_four_km_s,RMS_Newtonian_km_s,negative_g_rel_points,Mtotal_proxy_Msun,RMS_train_groupkfold_km_s,improved_frozen_vs_newtonian,improved_groupkfold_vs_newtonian
UGC00731,12,17.94392939444336,38.17360738121145,0,3450805393.393492,14.170382593719491,True,True
F583-1,25,18.193493412643942,37.59737362189561,0,6465712210.439187,14.35705953209797,True,True
NGC5005,18,60.58815991737736,32.137765803626486,5,108436210714.01172,14.86326335561544,False,True
UGC08490,30,13.758397940374463,44.87123580471808,0,1715105059.1618984,15.161639639929536,True,True
PGC51017,6,15.708838597673976,4.749998947161798,0,258911939.56627783,15.474840953406996,False,False
NGC3949,7,40.44229435182102,28.517276444165443,0,23369841101.301823,16.057198149896756,False,True
UGC03205,48,28.293051209600552,71.86627541704375,2,84411715608.51074,16.305615128847716,True,True
UGC03546,30,61.13951074847287,51.94601047736443,15,68176823712.19115,16.603432657113633,False,True
UGC01230,11,18.775505015837822,53.52025702299252,0,18460897142.4652,16.713441333678777,True,True
ESO444-G084,7,16.150000655842355,33.349804034715035,0,277536973.454455,16.986851001168336,True,True
UGC08286,17,16.85897346469644,44.65400461674634,0,1996800926.3155932,17.132205403045095,True,True
UGC05986,15,13.691148183577164,53.97150423434312,0,4268250357.1337233,17.493320144110694,True,True
UGC02259,8,18.938632775022636,48.10412763434287,0,2315905619.740939,17.72880104836248,True,True
NGC7814,18,32.59542610691163,73.6207273640208,2,51313790336.64968,17.94541627597862,True,True
NGC6789,4,17.39363647093348,26.49840257662861,0,60953867.55361076,18.008683058037168,True,True
NGC2903,34,45.68792477431489,60.5200871883598,5,48135867016.050095,18.172007728801333,True,True
NGC5907,19,42.67715972583204,86.48374825501512,0,139123457768.93726,18.73890479650272,True,True
NGC3953,8,51.03820839975097,49.90378454420272,0,92517129140.57726,18.865982713521458,False,True
NGC4559,32,26.36479470485762,39.97820918135414,0,23395922624.863117,19.051138948106384,True,True
UGC04325,8,19.90411869020972,46.16285880622443,0,2455600161.4774547,19.26675886489307,True,True
NGC1090,24,36.805371794042046,53.85932126626293,2,58684115113.08073,19.44921781408232,True,True
F579-V1,14,21.54610268256307,55.59624575573928,0,10970042385.91368,19.76425688442627,True,True
NGC4013,36,46.18896151522954,65.69129911121439,0,56690451795.550255,20.147916795842637,True,True
NGC0289,28,33.42034931144595,72.05791283517864,0,90430518695.81091,20.18423533036477,True,True
NGC4214,14,17.625829210162166,43.61623680279536,0,851773402.7217497,20.41450069993789,True,True
UGC05721,23,19.535675295141687,43.42112660188199,0,1217204828.5130355,20.480260696135325,True,True
NGC6946,58,48.41179818789888,42.149896326484296,3,46060866670.588326,22.25555810533535,False,True
F563-V1,6,19.184356717727283,4.948718563402544,0,1242416201.3387866,22.34231596661772,False,False
UGC11455,36,65.45541447753375,60.05214625371519,3,253876175891.14865,22.501780935072457,False,True
UGC04305,22,21.947474030278595,6.3534996230072105,5,1417454259.6799283,22.874745935992955,False,False
UGC02885,19,43.11891127509015,114.82690801221727,0,363797932762.0434,22.98262678098202,True,True
UGC07125,13,22.54959108368953,21.209547707269067,0,7624699137.391856,23.482689194917565,False,False
NGC1705,14,21.690172577954822,44.86883854026655,0,549278501.5264213,23.495974503198703,True,True
NGC0024,29,20.65379345783638,47.18129248016706,0,3408123622.3264384,23.89223334528264,True,True
UGC06667,9,27.16633675232198,48.79034345735921,0,1617655114.847788,24.05295058410427,True,True
NGC6674,15,18.774743698140945,119.19759956224416,0,153601297973.12662,24.373054959698912,True,True
NGC4085,7,40.53013235492952,21.937902793068105,2,14859196625.830347,25.228841584494944,False,False
F563-1,17,29.722205992532444,62.47755725522295,0,6974897592.602498,25.840831051579837,True,True
IC4202,32,52.28525549645683,69.12159369429722,3,132070371413.2358,26.020050443532128,True,True
F563-V2,10,29.366292443075327,59.03782298606216,0,5549019178.964453,26.98685068048232,True,True
UGC03580,47,38.03087465027546,36.01284882388974,22,15340690520.75026,27.65974175117133,False,True
F561-1,6,25.42942576237221,9.5934167231904,0,4667947133.048588,27.6806521467442,False,False
NGC3877,13,47.52393469464979,33.84095588590208,2,49927875618.7644,28.31383527631665,False,True
NGC2915,30,29.04073887280847,53.35994986959267,2,1249570909.8772118,28.58325890203125,True,True
NGC4157,17,61.72916532270804,52.61576992556368,2,71163967859.59251,28.87963325408123,False,True
NGC2998,13,41.49792674580873,71.792278099358,0,123978450659.5116,29.34880569472148,True,True
