galaxy,n_points,RMS_5G_M_km_s,RMS_Newtonian_km_s,mean_chi_obs,mean_chi_pred,negative_g_rel_points,Mtotal_proxy_Msun
NGC0100,21,7.180838646686922,37.29693453757341,1.2190941960636235,1.2517005146483124,1,2846613540.390289
UGC07323,10,7.194550636734337,23.515742110019804,0.8668333504544634,1.0582893868279082,0,3623085827.6504273
NGC5585,24,7.271817477590457,31.680943701137302,0.9127246381421075,1.07458829750111,0,4238475879.7556806
UGC05829,11,7.286546869453421,24.56645984744779,1.5799234006833827,1.2728413587561436,0,2251375076.204804
UGC07577,9,7.304694436353522,2.31003901056483,0.3154004588925262,1.281588670854403,0,60364577.84515369
NGC3972,10,7.439834754988687,44.45959494291804,0.9704723985464746,1.0186497767605664,0,10490188830.735823
UGC05999,5,7.51379835510467,44.29698318989037,1.3736719057639277,1.3514015851657435,0,10429242660.274221
UGC11820,10,7.790912209680227,30.782080603419725,1.583748474116518,1.196050345199392,0,5134442646.323685
UGC05918,8,7.875764118118111,21.809546688333317,1.9196164262006639,1.373154968941046,0,403095996.89368063
UGC08837,8,7.9019136119977045,12.24030919392676,0.6196827614311089,1.2048514785043811,1,839607969.0112092
UGC00634,4,7.931679036228461,55.279530975262304,1.6289773090373745,1.4749553479286228,0,7183180238.833179
UGC07524,31,8.007834273259538,34.27996285881312,1.4800995168499358,1.278810768093082,0,4793586778.611969
UGC10310,7,8.222690384695962,31.25990953267383,1.3734981501611803,1.2426572139492007,0,2849087303.617142
UGC06399,9,8.58199613169734,38.70738543926881,1.4829181175305264,1.2398431166190735,0,2726352011.551044
ESO116-G012,15,8.835560878686799,46.78208640396458,1.3001298554157439,1.1235560353383258,0,5207601739.399338
UGC02023,5,8.99236004697285,15.027147630460606,0.6825090421692743,1.1367786988024622,0,920561889.6931113
NGC2403,73,9.000938507085518,50.70104801512085,1.04235725714862,1.048361881391464,0,12840764743.856531
D631-7,16,9.472060037820091,26.330096093973044,1.2651489500421302,1.4296806039272474,1,559669543.3059514
NGC7793,46,9.61177941054905,26.40567432925076,0.5930941594461494,0.7649253553818347,4,5935319027.368628
UGC06923,6,9.681822423495735,25.934444999377245,0.7891833120827053,1.065781548430863,0,2754184657.6654716
UGC12632,15,9.71514756145159,34.55295039419839,1.673660479342607,1.351159895573846,0,3330754724.697797
UGC09992,5,9.743734260108413,11.212288562531272,0.8757716178424,1.261922640439753,0,498451162.0796529
NGC0300,25,9.837267424238405,46.47895971603302,1.5734268622090288,1.3574026470982878,0,3248735854.6214643
UGC00191,9,9.8531501931332,31.92467620407112,1.4070707223434715,1.1019058489394675,0,3822042218.0422287
UGC08550,11,9.900287287182044,29.603145461388138,1.7181834144711987,1.2926956954281705,0,756440127.3218925
UGC05716,12,10.076250503384944,38.595717422736016,1.7911025381249346,1.4494730916063217,0,2534131077.609157
UGC07089,12,10.328404375511822,25.463878692061286,0.9570264339298418,1.262376324477681,0,3688963172.9099193
F567-2,5,10.342086936215571,18.93445645439774,1.0342840641382225,1.3826415717326364,0,2525782925.8226748
CamB,9,10.487126459661775,3.3556068721726025,-0.25980998264326394,1.2257377549292523,6,66133643.46150003
UGC06818,8,10.716539664858969,27.07042994637209,0.9672967801081638,1.2655504278890055,0,1689466941.414724
UGC07603,12,10.775424839363502,31.453943634197763,1.5558236683583129,1.21678030594608,0,490550757.63036203
ESO079-G014,15,10.996323243731693,55.74658403541774,0.990589729784346,1.0064326020219605,0,36263092180.14329
DDO161,31,11.02437709243489,23.323029110647877,0.9710308065638525,1.380047167071768,0,2926378767.7491508
UGC06930,10,11.04983455054445,45.99712838722294,1.222408850703791,1.3088965565051223,0,11645721959.771303
UGC06983,17,11.209038311047573,54.54130717033093,1.4909350602909814,1.3256807902683376,0,8774596955.528017
NGC3741,21,11.224183302656686,25.903475084314856,2.0655558909830103,1.4931833852702363,0,303581753.6288832
NGC3917,17,11.420133918095267,50.96833813740423,1.0245491566738254,1.1436020236655426,1,17398549648.562748
NGC4183,23,11.656145942329248,48.41085618248364,1.2561035041872959,1.3243391429627922,0,12184773122.19972
F568-3,18,11.811848339687709,44.56354544414182,1.450701067282668,1.2467846568443464,0,11371116226.798517
